doc_id,title,in_metadata,in_kg_doc_nodes,in_runtime_doc_id_mapping,aboutTaxon_count,aboutDisease_count,aboutLocation_count,documentProductionMode_count,has_aboutTaxon,has_aboutDisease,has_aboutLocation,has_documentProductionMode,has_at_least_1_core_fact,has_all_4_core_fact_types
TCKHTS_002,"Mô hình phòng, trị bệnh sữa, bệnh đỏ thân trên tôm hùm nuôi lồng tại các tỉnh Nam Trung Bộ",True,True,True,1,1,2,1,True,True,True,True,True,True
TCTS_002,Quy trình kiểm soát Rickettsia-like bacteria (RLB) gây bệnh sữa trên tôm hùm (Panulirus spp.) nuôi lồng,True,True,True,1,1,2,1,True,True,True,True,True,True
HUIB_001,Khả năng hình thành màng sinh học và tính kháng kháng sinh của Vibrio parahaemolyticus phân lập từ tôm hùm Panulirus spp. nuôi,True,True,True,1,1,2,1,True,True,True,True,True,True
KKTY_001,Tỷ lệ nhiễm và mức độ mẫn cảm kháng sinh của vi khuẩn Vibrio parahaemolyticus phân lập từ tôm hùm bông (Panulirus ornatus) nuôi lồng ở vùng biển tỉnh Phú Yên,True,True,True,1,1,1,1,True,True,True,True,True,True
TCKHTS_003,Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại,True,True,True,1,0,3,2,True,False,True,True,True,False
KNQG_002,Kỹ thuật nuôi tôm hùm lồng và các biện pháp phòng trị bệnh,True,True,True,1,1,2,1,True,True,True,True,True,True
CTU_JOURNAL_001,Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận,True,True,True,2,0,1,2,True,False,True,True,True,False
CTU_JOURNAL_002,Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau,True,True,True,1,0,1,2,True,False,True,True,True,False
TCKHTS_004,"Thực trạng, tiềm năng và giải pháp phát triển nuôi tôm trên cát ở khu vực miền Trung",True,True,True,1,0,1,1,True,False,True,True,True,False
VAP_001,Ô nhiễm môi trường trầm tích vùng nuôi và rủi ro đối với hoạt động nuôi lồng bè ven biển Nam Trung Bộ,True,True,True,1,0,1,1,True,False,True,True,True,False
VAWRE_001,Nghiên cứu biến động và giải pháp kiểm soát chất lượng môi trường vùng nuôi tôm tập trung tại Quảng Ninh,True,True,True,1,0,1,1,True,False,True,True,True,False
TCKHTS_005,Tổng quan Decapod iridescent virus 1 (DIV1) gây bệnh ở tôm,True,True,True,2,0,1,1,True,False,True,True,True,False
VJAS_001,Nghiên cứu bệnh vi bào tử trùng Enterocytozoon hepatopenaei (EHP) trên tôm thẻ chân trắng nuôi tại Quảng Ninh và Nam Định,True,True,True,1,1,1,1,True,True,True,True,True,True
TNU_JST_001,Điều tra độc lực của vi khuẩn Vibrio parahaemolyticus gây bệnh trên tôm thẻ chân trắng,True,True,True,1,1,1,1,True,True,True,True,True,True
MDPI_001,"Prevalence of Vibrio parahaemolyticus Causing Acute Hepatopancreatic Necrosis Disease of Shrimp in Shrimp, Molluscan Shellfish and Water Samples in the Mekong Delta, Vietnam",True,True,True,1,1,2,1,True,True,True,True,True,True
AAF_001,Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam,True,True,True,2,1,1,1,True,True,True,True,True,True
DLU_002,Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei),True,True,True,1,1,1,1,True,True,True,True,True,True
VJMST_003,Đánh giá sức tải môi trường vực nước Thủy Triều - Cam Ranh,True,True,True,1,0,3,1,True,False,True,True,True,False
TCKHTS_006,Phân lập và định danh vi khuẩn Photobacterium damselae gây bệnh trên cá chim vây vàng tại Khánh Hòa bằng phương pháp sinh hóa và phân tử,True,True,True,0,0,2,1,False,False,True,True,True,False
TCKHTS_007,Một số đặc điểm sinh học của vi khuẩn Vibrio harveyi gây bệnh xuất huyết lở loét ở cá chẽm nuôi tại Khánh Hòa,True,True,True,0,0,3,1,False,False,True,True,True,False
CTU_JOURNAL_003,Hiện trạng nhiễm ký sinh trùng trên cá bớp (Rachycentron canadum) nuôi lồng ở tỉnh Kiên Giang,True,True,True,1,0,1,1,True,False,True,True,True,False
CTU_002,Kỹ thuật sản xuất giống và nuôi cá biển,True,True,True,0,0,1,1,False,False,True,True,True,False
VJAS_002,Tổng quan về bệnh do vi khuẩn Streptococcus iniae gây ra trên cá biển,True,True,True,0,0,1,1,False,False,True,True,True,False
TCKHTS_008,Bệnh mù mắt do liên cầu khuẩn gây ra ở cá bớp nuôi tại Khánh Hòa,True,True,True,1,0,2,1,True,False,True,True,True,False
TCKHTS_009,"Nghiên cứu mối quan hệ phát sinh loài của sán lá song chủ ký sinh trên cá chẽm (Lates calcarifer Bloch, 1790) nuôi tại Khánh Hòa",True,True,True,0,0,2,1,False,False,True,True,True,False
