row_index,doc_id,field_name,raw_value,status,mapped_uri_or_reason
20,FAO_021,title,Guidelines for Sustainable Aquaculture: Communications handbook and toolkit,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021
20,FAO_021,filePath,data/raw_docs/FAO_021_cd8667en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021
20,FAO_021,language,English,skipped_no_predicate,predicate missing in ontology
20,FAO_021,keywords,sustainable aquaculture; guidelines; communication; stakeholders; digital technology; food security; livelihoods; ecosystem restoration; climate resilience; governance,skipped_no_predicate,predicate missing in ontology
20,FAO_021,aboutTaxon,aquatic animals,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon
20,FAO_021,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
20,FAO_021,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
20,FAO_021,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
20,FAO_021,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
21,FAO_022,docId,FAO_022,skipped_no_predicate,predicate missing in ontology
21,FAO_022,title,Aquaculture development. 4. Ecosystem approach to aquaculture,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022
21,FAO_022,filePath,data/raw_docs/FAO_022_i1750e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022
21,FAO_022,language,English,skipped_no_predicate,predicate missing in ontology
21,FAO_022,keywords,aquaculture; ecosystem approach; environmental management; sustainability; ecosystem integration; governance; management; policy; sustainable development,skipped_no_predicate,predicate missing in ontology
21,FAO_022,aboutTaxon,aquatic animals,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon
21,FAO_022,aboutTaxon,fish,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish
21,FAO_022,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
21,FAO_022,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
21,FAO_022,documentProductionMode,aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
22,FAO_023,docId,FAO_023,skipped_no_predicate,predicate missing in ontology
22,FAO_023,title,"Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements",set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_023
22,FAO_023,filePath,data/raw_docs/FAO_023_i0970e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_023
22,FAO_023,language,English,skipped_no_predicate,predicate missing in ontology
22,FAO_023,keywords,aquaculture; environmental impact assessment; monitoring; aquatic environment; sustainability; risk analysis; ecosystem management; environmental policy; impact assessment; environmental impact; ecosystem effects; aquaculture species,skipped_no_predicate,predicate missing in ontology
