doc_uri,doc_id,title,metadata_row_found,aboutTaxon_count,has_aboutTaxon,aboutDisease_count,has_aboutDisease,aboutLocation_count,has_aboutLocation,documentProductionMode_count,has_documentProductionMode,total_structured_fact_count,metadata_aboutTaxon_present,metadata_aboutDisease_present,metadata_aboutLocation_present,metadata_documentProductionMode_present,missing_fact_types,confidence_to_backfill
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_015,FAO_015,FAO species catalogue. Vol.13. Marine lobsters of the world. An annotated and illustrated catalogue of marine lobsters known to date,True,1,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016,FAO_016,Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources,True,1,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_017,FAO_017,Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms,True,2,True,0,False,1,True,2,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018,FAO_018,Water quality and fish health,True,2,True,0,False,0,False,2,True,2,True,False,True,True,aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019,FAO_019,Understanding and applying risk analysis in aquaculture,True,2,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020,FAO_020,Risk Analysis for Movements of Live Aquatic Animals. An introductory training course,True,3,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021,FAO_021,Guidelines for Sustainable Aquaculture: Communications handbook and toolkit,True,3,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022,FAO_022,Aquaculture development. 4. Ecosystem approach to aquaculture,True,3,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_023,FAO_023,"Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements",True,1,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_024,FAO_024,Reducing environmental impacts of coastal aquaculture,True,0,False,0,False,1,True,1,True,2,False,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,FAO_025,"Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda",True,1,True,0,False,0,False,1,True,2,True,False,True,True,aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,FAO_026,Aquaculture Environmental Impact Assessment,True,1,True,0,False,0,False,1,True,2,True,False,True,True,aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027,FAO_027,Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt),True,1,True,0,False,1,True,1,True,3,True,False,True,True,,low
