doc_id,doc_uri,token,source_field,candidate_property,normalized_label,candidate_class,candidate_property_suggested,target_uri,decision,reason,confidence
FAO_034,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_034,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_034,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_034,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_034,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_034,IMN,related_disease,aboutDisease,imn,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,Asia,related_location,aboutLocation,asia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,Pacific,related_location,aboutLocation,pacific,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_036,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_036,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_036,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_036,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_036,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_036,Bosnia and Herzegovina,related_location,aboutLocation,bosnia and herzegovina,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_037,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_037,aquatic animals,related_taxon,aboutTaxon,aquatic animals,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_037,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_037,fish,related_taxon,aboutTaxon,fish,Fish,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_037,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_037,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_039,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_039,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_039,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_039,prawns,related_taxon,aboutTaxon,prawns,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_040,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_040,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_040,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_040,prawns,related_taxon,aboutTaxon,prawns,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_040,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_040,Bangladesh,related_location,aboutLocation,bangladesh,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_040,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_040,coastal aquaculture,production_mode,documentProductionMode,coastal aquaculture,ProductionMode,documentProductionMode,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_CoastalAquaculture,ADD_NEW_ENTITY,production mode term; safe to represent as ProductionMode individual,high
FAO_041,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_041,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_042_biosecurity_philippines,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_042_biosecurity_philippines,shrimp,related_taxon,aboutTaxon,shrimp,Shrimp,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
